YearMonth,Jalisco-Jalisco_precio_frec_mean,25015,25116,25037,14066,14132
2016-03,5.1,1.09,0.71,1.47,0.96,0.14
2016-04,5.375,1.09,0.71,1.47,0.97,0.15
2016-05,5.325,1.15,0.67,1.46,0.86,0.02
2016-06,5.42,0.73,0.66,1.19,1.11,-0.08
2016-07,5.35,0.72,0.36,0.78,1.45,0.36
2016-08,5.36,0.62,0.74,0.34,1.71,0.74
2016-09,5.35,1.27,0.96,0.68,1.51,0.71
2016-10,5.3,1.19,0.56,0.5,1.55,0.63
2016-11,5.34,1.09,0.57,0.38,1.6,0.62
2016-12,5.35,1.11,0.58,0.47,1.64,0.61
2017-01,5.35,1.05,0.5,0.43,1.62,0.62
2017-02,5.45,1.01,0.56,0.45,1.54,0.55
2017-03,5.34,0.95,0.58,0.42,1.28,0.47
2017-04,5.3,0.95,0.57,0.4,1.27,0.47
2017-05,5.38,0.95,0.52,0.38,1.16,0.25
2017-06,5.35,0.92,0.52,0.23,0.32,-0.34
2017-07,5.3,0.55,0.48,0,0.04,-0.14
2017-08,5.3,0.45,0.1,-0.04,-0.46,-0.04
2017-09,5.35,0.1,0.22,-0.33,-0.25,-0.01
2017-10,5.3,-0.8,0.12,-0.65,-0.37,0.05
2017-11,5.3,-0.87,0.02,-0.78,-0.38,0.06
2017-12,5.35,-1.25,0.02,-0.76,-0.39,0.02
2018-01,5.3,-1.21,0,-0.75,-0.32,0.07
2018-02,5.3,-1.11,0.04,-0.72,-0.23,0.11
2018-03,5.3,-1.14,0.03,-0.77,-0.25,0.09
2018-04,5.3,-1.14,0.03,-0.78,-0.24,0.09
2018-05,5.3,-1.24,-0.01,-0.81,-0.04,0.34
2018-06,5.3,-0.98,0.19,-0.68,0.17,0.56
2018-07,5.3,-1.74,-0.15,-0.77,0.12,0.23
2018-08,5.34,-1.45,-0.2,-0.14,-0.24,0.03
2018-09,5.525,-0.24,1.11,0.77,0.62,0.12
2018-10,5.56,-0.08,1.1,1.09,0.67,0.23
2018-11,5.4,-0.09,1.1,1.09,0.67,0.27
2018-12,5.3,0.08,1.26,1.24,0.7,0.26
2019-01,5.36,0.09,1.3,1.24,0.73,0.3
2019-02,5.425,-0.03,1.19,1.15,0.75,0.28
2019-03,5.45,-0.03,1.17,1.19,0.73,0.27
2019-04,5.4,-0.03,1.17,1.19,0.74,0.28
2019-05,5.55,-0.04,1.12,1.17,0.81,0.29
2019-06,5.6,-0.05,1.08,1.12,0.92,0.45
2019-07,5.6,0.23,1.1,1.02,1.42,0.3
2019-08,5.575,0.45,1.67,1.16,1.58,0.11
2019-09,5.575,1.43,2.01,1.37,1.32,-0.21
2019-10,5.64,1.64,2.01,1.34,1.68,-0.32
2019-11,5.6,2.18,2.23,1.59,1.92,-0.15
2019-12,5.58,2.14,2.28,1.69,1.92,-0.21
2020-01,5.7,2.13,2.32,1.78,1.98,-0.16
2020-02,5.733333333,2.27,2.29,1.85,2.01,-0.04
2020-03,6,2.28,2.3,1.9,2,-0.04
2020-05,6.1,2.28,2.3,1.91,1.99,-0.03
2020-06,6.075,2.27,2.24,1.89,1.93,-0.26
2020-07,4.991270748,2.14,2.09,1.68,0.99,-0.68
2020-08,5.20701725,2.29,2.16,1.72,0.59,-0.48
2020-09,6.861233434,1.78,1.8,1.23,0.35,-0.94
2020-10,7.007325384,0.23,0.67,0.02,-0.54,-1.61
2020-11,7.026442078,0,0.56,-0.4,-0.79,-1.73
2020-12,6.4,0,0.62,-0.39,-0.94,-1.9
2021-01,6.3,-0.14,0.51,-0.44,-0.93,-1.91
2021-02,7,-0.11,0.56,-0.4,-0.96,-1.92
2021-03,7.18,-0.09,0.56,-0.39,-0.92,-1.93
2021-04,7.275,-0.09,0.56,-0.44,-0.9,-1.9
2021-05,7.85,-0.09,0.56,-0.45,-0.88,-1.92
2021-06,8.7,-0.09,0.51,-0.47,-0.86,-1.9
2021-07,8.625,0.15,0.55,-0.43,-0.73,-1.57
2021-08,7.8,0.08,0.59,-0.02,-0.74,-1.64
2021-09,7.78,-0.01,0.28,-0.21,-0.76,-1.67
